timestamp,views,likes,retweets,replies,hasImages,keywords,tweetUrl,text,translated_text
2026-07-17T10:37:41.000+08:00,1292,9,,1,yes,"hbm; hbm sold; scary isn; falling apart","https://x.com/tengyanAI/status/2077945808574701936","market volatility this week is scary. but it isn't a signal that AI demand is falling apart.   it's the momentum trade unwinding. a bunch of funds that all crowded the same winners getting forced to sell at once after a monster first half.   the actual businesses (HBM sold out,","market volatility this week is scary. but it isn't a signal that AI demand is falling apart.   it's the momentum trade unwinding. a bunch of funds that all crowded the same winners getting forced to sell at once after a monster first half.   the actual businesses (HBM sold out,"
2026-07-17T08:46:55.000+08:00,725,1,,1,yes,"tsmc; asml; asml ships; h2 taiwan; shipments flat; sales jumped","https://x.com/tengyanAI/status/2077917933649658239","3/ This actually matches what ASML already told us.  EUV shipments were flat in H1 because the ramp shifted into H2. Taiwan’s share of ASML system sales jumped from 23% to 30%.  ASML ships the tools. TSMC absorbs the ramp costs.  Same supercycle, viewed from opposite ends of the","3/ This actually matches what ASML already told us.  EUV shipments were flat in H1 because the ramp shifted into H2. Taiwan’s share of ASML system sales jumped from 23% to 30%.  ASML ships the tools. TSMC absorbs the ramp costs.  Same supercycle, viewed from opposite ends of the"
2026-07-17T08:46:57.000+08:00,343,1,,1,yes,"tsmc; wafer; packaging; supply chain; wafers packaging; line tsmc; binding constraint","https://x.com/tengyanAI/status/2077917940662575473","5/The most important line of the TSMC call wasn’t about wafers. It was about packaging.  “Our packaging capacity is so tight that now it’s limiting my customers’ growth.”  That’s the binding constraint today, stated directly by the company at the center of the AI supply chain.","5/The most important line of the TSMC call wasn’t about wafers. It was about packaging.  “Our packaging capacity is so tight that now it’s limiting my customers’ growth.”  That’s the binding constraint today, stated directly by the company at the center of the AI supply chain."
2026-07-17T08:46:58.000+08:00,361,2,,1,no,"advanced packaging; packaging; packaging read; ai infrastructure; buildout constrained","https://x.com/tengyanAI/status/2077917943237943739","My takeaway: - Lower margin guidance reflects an aggressive N2 ramp, not weaker demand. - Advanced packaging remains the bottleneck. - The AI infrastructure buildout is still constrained by supply, not demand.  Our advanced packaging read and companies that benefit/at-risk:","My takeaway: - Lower margin guidance reflects an aggressive N2 ramp, not weaker demand. - Advanced packaging remains the bottleneck. - The AI infrastructure buildout is still constrained by supply, not demand.  Our advanced packaging read and companies that benefit/at-risk:"
2026-07-17T08:46:54.000+08:00,1682,6,2,2,yes,"tsmc; capex; tsmc printed; capex raised","https://x.com/tengyanAI/status/2077917927333110019","1/ TSMC printed a great quarter: - Full year growth raised to “slightly above 40%” - Capex raised to $60-64B  The number that matters is Q3 gross margin: 67.7% → guided to 65-67%.  The market wants caution BUT I think it’s evidence the AI buildout is still accelerating.  $TSM","1/ TSMC printed a great quarter: - Full year growth raised to “slightly above 40%” - Capex raised to $60-64B  The number that matters is Q3 gross margin: 67.7% → guided to 65-67%.  The market wants caution BUT I think it’s evidence the AI buildout is still accelerating.  $TSM"
2026-07-17T08:46:55.000+08:00,300,1,,2,yes,"wafer; fab; explained n2; h2 gross; ramp dilutes","https://x.com/tengyanAI/status/2077917931057614888","2/ The CFO explained why... The N2 ramp alone dilutes H2 gross margin by 3-4 pt, alongside the expected overseas fab drag.  N2 also appeared in the revenue mix for the first time: 3% of wafer revenue.  remember: ramp costs have to arrive before ramp revenue.  Companies worried","2/ The CFO explained why... The N2 ramp alone dilutes H2 gross margin by 3-4 pt, alongside the expected overseas fab drag.  N2 also appeared in the revenue mix for the first time: 3% of wafer revenue.  remember: ramp costs have to arrive before ramp revenue.  Companies worried"
2026-07-16T17:54:14.000+08:00,5680,28,1,6,yes,"tsmc; capex; graded tsmc; mgmt raised; range missed","https://x.com/tengyanAI/status/2077693282227040419","Graded our TSMC call.  We forecast their capex guide rises to $56-60B, from $52-56B. Just reported today: Mgmt raised to $60-64B!  So our direction was right, but range missed low. The AI cycle outran our number too.","Graded our TSMC call.  We forecast their capex guide rises to $56-60B, from $52-56B. Just reported today: Mgmt raised to $60-64B!  So our direction was right, but range missed low. The AI cycle outran our number too."
2026-07-16T17:59:02.000+08:00,634,2,,,no,"rack; tessara members; public edge; track record; seeing; seeing resolves","https://x.com/tengyanAI/status/2077694487690981641","Our track record is public. The edge is seeing the next call before it resolves. Tessara members always get see first ⁠","Our track record is public. The edge is seeing the next call before it resolves. Tessara members always get see first ⁠"
2026-07-16T14:57:48.000+08:00,3584,44,2,11,yes,"tsmc; real signal","https://x.com/tengyanAI/status/2077648879458328936","TSMC Q2: $40.2B revenue (top of guide) and 67.7% gross margin (above the range). The real signal is Q3 guidance: $44.6-45.8B, another ~12% QoQ step.   AI demand is still accelerating into H2   $TSM","TSMC Q2: $40.2B revenue (top of guide) and 67.7% gross margin (above the range). The real signal is Q3 guidance: $44.6-45.8B, another ~12% QoQ step.   AI demand is still accelerating into H2   $TSM"
2026-07-16T13:12:21.000+08:00,4738,16,2,2,yes,"asml; production nxe; 3600d ending; zeiss optical; signal asml","https://x.com/tengyanAI/status/2077622342533169566","one buried signal in the ASML earnings call yesterday:   ASML said production of the NXE:3600D is ending partly because it has exhausted the D-specific ZEISS optical assembly. The company expects to be effectively out of D systems by year-end, after which Low-NA production shifts","one buried signal in the ASML earnings call yesterday:   ASML said production of the NXE:3600D is ending partly because it has exhausted the D-specific ZEISS optical assembly. The company expects to be effectively out of D systems by year-end, after which Low-NA production shifts"
2026-07-16T08:42:20.000+08:00,10303,44,5,3,yes,"tsmc; capex; tsmc raise; recent spending; fy2026; prints hours","https://x.com/tengyanAI/status/2077554391050314009","TSMC prints in a few hours. We think TSMC could raise its FY2026 capex guidance rises from $52-56B to $56-60B.  Current mgmt guidance: $52-56B (set April 16)  Why we think so: - Revenue is running 31% year over year against guidance set in April, and TSMC’s recent spending","TSMC prints in a few hours. We think TSMC could raise its FY2026 capex guidance rises from $52-56B to $56-60B.  Current mgmt guidance: $52-56B (set April 16)  Why we think so: - Revenue is running 31% year over year against guidance set in April, and TSMC’s recent spending"
2026-07-15T19:12:04.000+08:00,18885,99,12,9,yes,"tsmc; asml; asml just; release taiwan; machine sales; tsmc prints; beat raised","https://x.com/tengyanAI/status/2077350481673015430","1/ ASML just beat and raised guidance. That's the headline everyone will run.  But the number that actually matters was sitting in the deck (not the press release):  Taiwan went from 23% to 30% of ASML's machine sales in a single quarter. (hint: TSMC prints tomorrow)  The beat","1/ ASML just beat and raised guidance. That's the headline everyone will run.  But the number that actually matters was sitting in the deck (not the press release):  Taiwan went from 23% to 30% of ASML's machine sales in a single quarter. (hint: TSMC prints tomorrow)  The beat"
2026-07-15T19:12:06.000+08:00,1688,8,,1,yes,"asml; impt bcos; supercycle prob; years euv","https://x.com/tengyanAI/status/2077350490032009222","3/ imo this is a capacity supercycle, prob not a peak.  Capacity +30%/yr for the next two years, for BOTH EUV and DUV. Low-NA EUV ~65 (2026) to ~85 (2027), and investigating ~110 (2028).  this is impt bcos ASML only expands capacity against committed demand.  People fixate on EUV","3/ imo this is a capacity supercycle, prob not a peak.  Capacity +30%/yr for the next two years, for BOTH EUV and DUV. Low-NA EUV ~65 (2026) to ~85 (2027), and investigating ~110 (2028).  this is impt bcos ASML only expands capacity against committed demand.  People fixate on EUV"
