timestamp,views,likes,retweets,replies,hasImages,keywords,tweetUrl,text,translated_text
2026-07-10T08:45:38.000+08:00,1942,9,2,,yes,"nand; memory; nand production; korea memory; china emerging; expansion hub","https://x.com/trendforce/status/2075380895461330980","China is emerging as the go-to expansion hub for NAND production, enabling South Korea's memory giants to scale capacity faster.","China is emerging as the go-to expansion hub for NAND production, enabling South Korea's memory giants to scale capacity faster."
2026-07-10T00:00:40.000+08:00,3802,37,3,,no,"#dram; #trendforce; dram; trendforce; memory; server; dram prices; quotes trendforce; prices rising; breaks memory","https://x.com/trendforce/status/2075248783110152585"," Server #DRAM prices keep rising. While some long-term agreements cap upside, tight supply could still drive higher quotes.  #TrendForce breaks down memory market trends:  https:// buff.ly/jiKkxMX "," Server #DRAM prices keep rising. While some long-term agreements cap upside, tight supply could still drive higher quotes.  #TrendForce breaks down memory market trends:  https:// buff.ly/jiKkxMX "
2026-07-09T21:00:25.000+08:00,2324,9,,,no,"#datatrack; rack; cashing taiwan; foreign investors; buying dip; ai rally; domestic tug","https://x.com/trendforce/status/2075203418419806305","Foreign investors are cashing in on Taiwan and Korea's AI rally, but local money keeps buying the dip — a foreign-vs-domestic tug-of-war.  https:// buff.ly/Eb1ke29 #DataTrack","Foreign investors are cashing in on Taiwan and Korea's AI rally, but local money keeps buying the dip — a foreign-vs-domestic tug-of-war.  https:// buff.ly/Eb1ke29 #DataTrack"
2026-07-09T21:00:23.000+08:00,2860,9,2,,no,"#china; #pcb; capex; china pcb; capex nearly; increased 1q26; victory giant","https://x.com/trendforce/status/2075203413239812452"," #China's #PCB makers are ramping up investment as AI demand accelerates. Victory Giant reportedly increased 1Q26 capex nearly 5x to RMB 3.6B, with 1.6T optical module PCBs entering volume production. More:  https:// buff.ly/DJTEHgq "," #China's #PCB makers are ramping up investment as AI demand accelerates. Victory Giant reportedly increased 1Q26 capex nearly 5x to RMB 3.6B, with 1.6T optical module PCBs entering volume production. More:  https:// buff.ly/DJTEHgq "
2026-07-09T20:00:42.000+08:00,2098,5,1,1,no,"#datatrack; chip; rack; chip stocks; laggard ride; momentum; fading money; rotation https","https://x.com/trendforce/status/2075188391981748427","Momentum in US chip stocks is fading, and money's already hunting for the next laggard to ride. Who's next in line for this rotation?  https:// buff.ly/MRcobPv #DataTrack","Momentum in US chip stocks is fading, and money's already hunting for the next laggard to ride. Who's next in line for this rotation?  https:// buff.ly/MRcobPv #DataTrack"
2026-07-09T20:00:28.000+08:00,2878,10,1,,no,"#skhynix; #samsung; samsung; hynix; foundry; memory; samsung reportedly; korean memory; skhynix adr; south; group chairman","https://x.com/trendforce/status/2075188334834442509"," South Korean memory giants are both making moves in the U.S. this week — SK Group's chairman is in New York for #SKhynix's ADR listing, while #Samsung is reportedly courting Big Tech foundry clients at Sun Valley. More:  https:// buff.ly/oYFUOcE "," South Korean memory giants are both making moves in the U.S. this week — SK Group's chairman is in New York for #SKhynix's ADR listing, while #Samsung is reportedly courting Big Tech foundry clients at Sun Valley. More:  https:// buff.ly/oYFUOcE "
2026-07-09T19:00:56.000+08:00,2200,5,,,no,"#datatrack; rack; rally chinese; asset reshuffle; property slump; easing money; rotating stocks","https://x.com/trendforce/status/2075173349689303359","China's property slump shows no signs of easing, and money is quietly rotating into stocks and insurance. Could this asset reshuffle fuel the next leg of a slow-grind rally in Chinese equities?  https:// buff.ly/dLmVXLU #DataTrack","China's property slump shows no signs of easing, and money is quietly rotating into stocks and insurance. Could this asset reshuffle fuel the next leg of a slow-grind rally in Chinese equities?  https:// buff.ly/dLmVXLU #DataTrack"
2026-07-09T15:27:54.000+08:00,7717,29,2,,yes,"#apple; apple; memory; higher apple; ai boom; applications pushing","https://x.com/trendforce/status/2075119741606440972","The AI boom is driving explosive growth in memory demand, not only creating a severe capacity squeeze for traditional consumer applications but also pushing overall manufacturing costs higher. #Apple, in particular, faces greater supply challenges due to its highly customized","The AI boom is driving explosive growth in memory demand, not only creating a severe capacity squeeze for traditional consumer applications but also pushing overall manufacturing costs higher. #Apple, in particular, faces greater supply challenges due to its highly customized"
2026-07-09T14:05:13.000+08:00,4105,13,2,,yes,"#rapidus; japan rapidus; competitive pricing; reportedly betting; 2nm ramp","https://x.com/trendforce/status/2075098930002751973"," Ahead of its 2027 2nm ramp-up, Japan’s #Rapidus is reportedly betting on competitive pricing to win customers and build market share."," Ahead of its 2027 2nm ramp-up, Japan’s #Rapidus is reportedly betting on competitive pricing to win customers and build market share."
2026-07-09T13:07:16.000+08:00,5793,20,4,2,yes,"#lenovo; #ymtc; ssd; memory; ymtc ssds; lenovo decision; international expansion","https://x.com/trendforce/status/2075084348710396067","#Lenovo's decision to adopt #YMTC SSDs in notebook models sold globally marks a notable turning point for the memory industry. Previously, YMTC's international expansion had been largely constrained by its inclusion on the U.S. Entity List, limiting its market presence primarily","#Lenovo's decision to adopt #YMTC SSDs in notebook models sold globally marks a notable turning point for the memory industry. Previously, YMTC's international expansion had been largely constrained by its inclusion on the U.S. Entity List, limiting its market presence primarily"
